year,week,location,time,demand
2020,22,0,0,12
2020,22,1,0,2
2020,22,2,0,0
2020,22,3,0,1
2020,22,4,0,0
2020,22,5,0,0
2020,22,6,0,1
2020,22,7,0,1
2020,22,8,0,1
2020,22,9,0,0
2020,22,10,0,0
2020,22,11,0,0
2020,22,12,0,0
2020,22,13,0,4
2020,22,14,0,0
2020,23,0,1,119
2020,23,1,1,30
2020,23,2,1,3
2020,23,3,1,31
2020,23,4,1,24
2020,23,5,1,14
2020,23,6,1,15
2020,23,7,1,7
2020,23,8,1,9
2020,23,9,1,5
2020,23,10,1,38
2020,23,11,1,4
2020,23,12,1,3
2020,23,13,1,10
2020,23,14,1,3
2020,24,0,2,117
2020,24,1,2,34
2020,24,2,2,1
2020,24,3,2,33
2020,24,4,2,15
2020,24,5,2,12
2020,24,6,2,19
2020,24,7,2,7
2020,24,8,2,6
2020,24,9,2,5
2020,24,10,2,31
2020,24,11,2,6
2020,24,12,2,7
2020,24,13,2,23
2020,24,14,2,1
2020,25,0,3,93
2020,25,1,3,37
2020,25,2,3,6
2020,25,3,3,20
2020,25,4,3,15
2020,25,5,3,16
2020,25,6,3,16
2020,25,7,3,5
2020,25,8,3,11
2020,25,9,3,15
2020,25,10,3,48
2020,25,11,3,4
2020,25,12,3,12
2020,25,13,3,35
2020,25,14,3,4
2020,26,0,4,116
2020,26,1,4,60
2020,26,2,4,3
2020,26,3,4,19
2020,26,4,4,28
2020,26,5,4,15
2020,26,6,4,16
2020,26,7,4,4
2020,26,8,4,14
2020,26,9,4,16
2020,26,10,4,39
2020,26,11,4,7
2020,26,12,4,16
2020,26,13,4,25
2020,26,14,4,14
2020,27,0,5,95
2020,27,1,5,66
2020,27,2,5,5
2020,27,3,5,21
2020,27,4,5,22
2020,27,5,5,17
2020,27,6,5,27
2020,27,7,5,2
2020,27,8,5,18
2020,27,9,5,20
2020,27,10,5,46
2020,27,11,5,12
2020,27,12,5,7
2020,27,13,5,18
2020,27,14,5,9
2020,28,0,6,119
2020,28,1,6,54
2020,28,2,6,3
2020,28,3,6,22
2020,28,4,6,39
2020,28,5,6,24
2020,28,6,6,29
2020,28,7,6,3
2020,28,8,6,13
2020,28,9,6,25
2020,28,10,6,42
2020,28,11,6,10
2020,28,12,6,6
2020,28,13,6,26
2020,28,14,6,9
2020,29,0,7,118
2020,29,1,7,53
2020,29,2,7,4
2020,29,3,7,16
2020,29,4,7,27
2020,29,5,7,20
2020,29,6,7,41
2020,29,7,7,2
2020,29,8,7,10
2020,29,9,7,17
2020,29,10,7,91
2020,29,11,7,3
2020,29,12,7,12
2020,29,13,7,18
2020,29,14,7,7
2020,30,0,8,102
2020,30,1,8,57
2020,30,2,8,3
2020,30,3,8,13
2020,30,4,8,32
2020,30,5,8,30
2020,30,6,8,35
2020,30,7,8,2
2020,30,8,8,19
2020,30,9,8,15
2020,30,10,8,58
2020,30,11,8,12
2020,30,12,8,10
2020,30,13,8,28
2020,30,14,8,11
2020,31,0,9,124
2020,31,1,9,53
2020,31,2,9,9
2020,31,3,9,18
2020,31,4,9,50
2020,31,5,9,52
2020,31,6,9,32
2020,31,7,9,3
2020,31,8,9,15
2020,31,9,9,20
2020,31,10,9,54
2020,31,11,9,4
2020,31,12,9,14
2020,31,13,9,24
2020,31,14,9,9
2020,32,0,10,135
2020,32,1,10,51
2020,32,2,10,9
2020,32,3,10,11
2020,32,4,10,77
2020,32,5,10,46
2020,32,6,10,37
2020,32,7,10,3
2020,32,8,10,9
2020,32,9,10,24
2020,32,10,10,55
2020,32,11,10,4
2020,32,12,10,7
2020,32,13,10,26
2020,32,14,10,12
2020,33,0,11,90
2020,33,1,11,40
2020,33,2,11,8
2020,33,3,11,8
2020,33,4,11,42
2020,33,5,11,38
2020,33,6,11,25
2020,33,7,11,2
2020,33,8,11,16
2020,33,9,11,25
2020,33,10,11,44
2020,33,11,11,1
2020,33,12,11,6
2020,33,13,11,16
2020,33,14,11,4
2020,34,0,12,118
2020,34,1,12,54
2020,34,2,12,11
2020,34,3,12,11
2020,34,4,12,48
2020,34,5,12,39
2020,34,6,12,24
2020,34,7,12,3
2020,34,8,12,6
2020,34,9,12,24
2020,34,10,12,79
2020,34,11,12,8
2020,34,12,12,3
2020,34,13,12,14
2020,34,14,12,8
2020,35,0,13,106
2020,35,1,13,45
2020,35,2,13,3
2020,35,3,13,14
2020,35,4,13,27
2020,35,5,13,23
2020,35,6,13,33
2020,35,7,13,2
2020,35,8,13,13
2020,35,9,13,12
2020,35,10,13,49
2020,35,11,13,7
2020,35,12,13,8
2020,35,13,13,11
2020,35,14,13,15
2020,36,0,14,134
2020,36,1,14,56
2020,36,2,14,5
2020,36,3,14,15
2020,36,4,14,28
2020,36,5,14,59
2020,36,6,14,33
2020,36,7,14,2
2020,36,8,14,27
2020,36,9,14,28
2020,36,10,14,69
2020,36,11,14,9
2020,36,12,14,16
2020,36,13,14,12
2020,36,14,14,11
2020,37,0,15,119
2020,37,1,15,63
2020,37,2,15,8
2020,37,3,15,19
2020,37,4,15,27
2020,37,5,15,44
2020,37,6,15,33
2020,37,7,15,2
2020,37,8,15,21
2020,37,9,15,22
2020,37,10,15,64
2020,37,11,15,11
2020,37,12,15,12
2020,37,13,15,22
2020,37,14,15,12
2020,38,0,16,131
2020,38,1,16,69
2020,38,2,16,7
2020,38,3,16,16
2020,38,4,16,49
2020,38,5,16,73
2020,38,6,16,26
2020,38,7,16,4
2020,38,8,16,20
2020,38,9,16,27
2020,38,10,16,101
2020,38,11,16,6
2020,38,12,16,10
2020,38,13,16,21
2020,38,14,16,26
2020,39,0,17,122
2020,39,1,17,56
2020,39,2,17,8
2020,39,3,17,13
2020,39,4,17,26
2020,39,5,17,39
2020,39,6,17,32
2020,39,7,17,2
2020,39,8,17,22
2020,39,9,17,21
2020,39,10,17,102
2020,39,11,17,11
2020,39,12,17,9
2020,39,13,17,19
2020,39,14,17,15
2020,40,0,18,102
2020,40,1,18,72
2020,40,2,18,5
2020,40,3,18,10
2020,40,4,18,34
2020,40,5,18,54
2020,40,6,18,24
2020,40,7,18,3
2020,40,8,18,21
2020,40,9,18,31
2020,40,10,18,68
2020,40,11,18,22
2020,40,12,18,4
2020,40,13,18,13
2020,40,14,18,23
2020,41,0,19,130
2020,41,1,19,72
2020,41,2,19,9
2020,41,3,19,16
2020,41,4,19,20
2020,41,5,19,49
2020,41,6,19,51
2020,41,7,19,2
2020,41,8,19,19
2020,41,9,19,27
2020,41,10,19,128
2020,41,11,19,9
2020,41,12,19,11
2020,41,13,19,22
2020,41,14,19,20
2020,42,0,20,184
2020,42,1,20,53
2020,42,2,20,12
2020,42,3,20,12
2020,42,4,20,33
2020,42,5,20,48
2020,42,6,20,28
2020,42,7,20,3
2020,42,8,20,30
2020,42,9,20,24
2020,42,10,20,110
2020,42,11,20,11
2020,42,12,20,14
2020,42,13,20,20
2020,42,14,20,11
2020,43,0,21,133
2020,43,1,21,55
2020,43,2,21,5
2020,43,3,21,14
2020,43,4,21,19
2020,43,5,21,56
2020,43,6,21,16
2020,43,7,21,3
2020,43,8,21,36
2020,43,9,21,23
2020,43,10,21,66
2020,43,11,21,9
2020,43,12,21,8
2020,43,13,21,21
2020,43,14,21,12
2020,44,0,22,133
2020,44,1,22,64
2020,44,2,22,6
2020,44,3,22,14
2020,44,4,22,21
2020,44,5,22,45
2020,44,6,22,31
2020,44,7,22,3
2020,44,8,22,22
2020,44,9,22,18
2020,44,10,22,77
2020,44,11,22,10
2020,44,12,22,8
2020,44,13,22,17
2020,44,14,22,13
2020,45,0,23,134
2020,45,1,23,52
2020,45,2,23,5
2020,45,3,23,10
2020,45,4,23,37
2020,45,5,23,43
2020,45,6,23,13
2020,45,7,23,2
2020,45,8,23,42
2020,45,9,23,23
2020,45,10,23,61
2020,45,11,23,14
2020,45,12,23,11
2020,45,13,23,27
2020,45,14,23,8
2020,46,0,24,95
2020,46,1,24,48
2020,46,2,24,1
2020,46,3,24,11
2020,46,4,24,22
2020,46,5,24,40
2020,46,6,24,21
2020,46,7,24,2
2020,46,8,24,13
2020,46,9,24,20
2020,46,10,24,29
2020,46,11,24,2
2020,46,12,24,5
2020,46,13,24,21
2020,46,14,24,10
2020,47,0,25,102
2020,47,1,25,74
2020,47,2,25,13
2020,47,3,25,13
2020,47,4,25,28
2020,47,5,25,47
2020,47,6,25,36
2020,47,7,25,2
2020,47,8,25,26
2020,47,9,25,31
2020,47,10,25,62
2020,47,11,25,12
2020,47,12,25,6
2020,47,13,25,15
2020,47,14,25,9
2020,48,0,26,138
2020,48,1,26,56
2020,48,2,26,4
2020,48,3,26,7
2020,48,4,26,21
2020,48,5,26,44
2020,48,6,26,24
2020,48,7,26,3
2020,48,8,26,24
2020,48,9,26,28
2020,48,10,26,37
2020,48,11,26,5
2020,48,12,26,7
2020,48,13,26,28
2020,48,14,26,8
2020,49,0,27,150
2020,49,1,27,69
2020,49,2,27,7
2020,49,3,27,14
2020,49,4,27,37
2020,49,5,27,56
2020,49,6,27,55
2020,49,7,27,6
2020,49,8,27,15
2020,49,9,27,32
2020,49,10,27,80
2020,49,11,27,10
2020,49,12,27,10
2020,49,13,27,22
2020,49,14,27,11
2020,50,0,28,134
2020,50,1,28,78
2020,50,2,28,13
2020,50,3,28,11
2020,50,4,28,37
2020,50,5,28,72
2020,50,6,28,48
2020,50,7,28,9
2020,50,8,28,37
2020,50,9,28,28
2020,50,10,28,70
2020,50,11,28,14
2020,50,12,28,8
2020,50,13,28,24
2020,50,14,28,21
2020,51,0,29,140
2020,51,1,29,80
2020,51,2,29,5
2020,51,3,29,12
2020,51,4,29,44
2020,51,5,29,53
2020,51,6,29,46
2020,51,7,29,4
2020,51,8,29,16
2020,51,9,29,24
2020,51,10,29,47
2020,51,11,29,7
2020,51,12,29,7
2020,51,13,29,20
2020,51,14,29,15
2020,52,0,30,85
2020,52,1,30,29
2020,52,2,30,0
2020,52,3,30,16
2020,52,4,30,17
2020,52,5,30,9
2020,52,6,30,15
2020,52,7,30,2
2020,52,8,30,5
2020,52,9,30,5
2020,52,10,30,9
2020,52,11,30,39
2020,52,12,30,0
2020,52,13,30,9
2020,52,14,30,5
2021,1,0,31,106
2021,1,1,31,46
2021,1,2,31,2
2021,1,3,31,10
2021,1,4,31,16
2021,1,5,31,30
2021,1,6,31,23
2021,1,7,31,2
2021,1,8,31,31
2021,1,9,31,18
2021,1,10,31,37
2021,1,11,31,4
2021,1,12,31,0
2021,1,13,31,23
2021,1,14,31,6
2021,2,0,32,103
2021,2,1,32,71
2021,2,2,32,6
2021,2,3,32,14
2021,2,4,32,14
2021,2,5,32,34
2021,2,6,32,17
2021,2,7,32,3
2021,2,8,32,20
2021,2,9,32,23
2021,2,10,32,31
2021,2,11,32,5
2021,2,12,32,6
2021,2,13,32,15
2021,2,14,32,4
2021,3,0,33,98
2021,3,1,33,65
2021,3,2,33,3
2021,3,3,33,16
2021,3,4,33,11
2021,3,5,33,34
2021,3,6,33,15
2021,3,7,33,3
2021,3,8,33,19
2021,3,9,33,20
2021,3,10,33,35
2021,3,11,33,5
2021,3,12,33,6
2021,3,13,33,10
2021,3,14,33,11
2021,4,0,34,78
2021,4,1,34,68
2021,4,2,34,3
2021,4,3,34,15
2021,4,4,34,12
2021,4,5,34,16
2021,4,6,34,24
2021,4,7,34,4
2021,4,8,34,35
2021,4,9,34,27
2021,4,10,34,14
2021,4,11,34,6
2021,4,12,34,5
2021,4,13,34,18
2021,4,14,34,9
2021,5,0,35,11
2021,5,1,35,4
2021,5,2,35,0
2021,5,3,35,1
2021,5,4,35,0
2021,5,5,35,0
2021,5,6,35,1
2021,5,7,35,0
2021,5,8,35,0
2021,5,9,35,1
2021,5,10,35,2
2021,5,11,35,0
2021,5,12,35,0
2021,5,13,35,1
2021,5,14,35,0
